loss,grad_norm,learning_rate,epoch,step,training_loss,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7282,6.578832149505615,2.48e-06,2.752,1720.0,,,,,,,,,,,,,,
0.6732,7.927832126617432,2.3200000000000002e-06,2.768,1730.0,,,,,,,,,,,,,,
0.677,6.869775772094727,2.16e-06,2.784,1740.0,,,,,,,,,,,,,,
0.6803,7.833810806274414,2e-06,2.8,1750.0,,,,,,,,,,,,,,
0.6557,7.538078308105469,1.84e-06,2.816,1760.0,,,,,,,,,,,,,,
0.6502,6.1430792808532715,1.68e-06,2.832,1770.0,,,,,,,,,,,,,,
0.6462,7.0482001304626465,1.52e-06,2.848,1780.0,,,,,,,,,,,,,,
0.6612,6.9688873291015625,1.3600000000000001e-06,2.864,1790.0,,,,,,,,,,,,,,
0.6198,6.11670446395874,1.2000000000000002e-06,2.88,1800.0,,,,,,,,,,,,,,
0.6448,6.964413166046143,1.04e-06,2.896,1810.0,,,,,,,,,,,,,,
0.7086,6.33458137512207,8.8e-07,2.912,1820.0,,,,,,,,,,,,,,
0.6324,5.585134506225586,7.2e-07,2.928,1830.0,,,,,,,,,,,,,,
0.6601,5.880258560180664,5.6e-07,2.944,1840.0,,,,,,,,,,,,,,
0.6828,6.34248685836792,4.0000000000000003e-07,2.96,1850.0,,,,,,,,,,,,,,
0.6881,6.361751556396484,2.4000000000000003e-07,2.976,1860.0,,,,,,,,,,,,,,
0.599,6.871273517608643,8e-08,2.992,1870.0,,,,,,,,,,,,,,
,,,3.0,,0.599,,,,,,,,,,,,,
,,,3.0,1875.0,,2.983231782913208,0.4681,0.3134,0.428,0.4681,10622.5691,0.094,0.024,,,,,
,,,3.0,1875.0,,,,,,,,,,52270.1689,0.287,0.036,5854044104245248.0,0.9734200148264567
